Svid,ConstellationType,NoradCatID,ConstellationName
1,1,62339,GPS
2,6,41549,Galileo
3,3,37867,Glonass
3,6,41860,Galileo
4,3,44850,Glonass
4,1,43873,GPS
5,3,43508,Glonass
5,6,41862,Galileo
6,5,36828,BeiDou
6,6,59600,Galileo
7,6,41859,Galileo
7,5,37256,BeiDou
8,6,41175,Galileo
8,5,37384,BeiDou
8,1,40730,GPS
9,6,41174,Galileo
9,1,40105,GPS
9,3,40315,Glonass
9,5,37763,BeiDou
10,5,37948,BeiDou
10,6,49810,Galileo
11,1,48859,GPS
11,6,37846,Galileo
11,5,38250,BeiDou
11,3,46805,Glonass
12,5,38251,BeiDou
12,3,44299,Glonass
13,5,41434,BeiDou
13,6,43567,Galileo
14,1,46826,GPS
14,5,38775,BeiDou
15,6,43564,Galileo
16,3,54377,Glonass
16,5,43539,BeiDou
16,6,61182,Galileo
17,3,41330,Glonass
18,3,39620,Glonass
21,5,43208,BeiDou
21,6,43055,Galileo
21,3,40001,Glonass
22,5,43207,BeiDou
23,6,61183,Galileo
23,3,36402,Glonass
23,5,43581,BeiDou
24,3,45358,Glonass
24,5,43582,BeiDou
24,6,40889,Galileo
25,1,36585,GPS
25,5,43603,BeiDou
25,6,43056,Galileo
26,6,40544,Galileo
26,5,43602,BeiDou
27,6,43057,Galileo
27,5,43107,BeiDou
28,5,43108,BeiDou
29,6,59598,Galileo
30,1,39533,GPS
30,6,40890,Galileo
33,6,43565,Galileo
33,5,43623,BeiDou
34,5,43648,BeiDou
34,6,49809,Galileo
35,5,43647,BeiDou
36,6,43566,Galileo
37,5,43707,BeiDou
38,5,44204,BeiDou
40,5,44709,BeiDou
41,5,44864,BeiDou
42,5,44865,BeiDou
43,5,44794,BeiDou
44,5,44793,BeiDou
194,4,42738,QZSS
195,4,42965,QZSS
196,4,49336,QZSS
199,4,42917,QZSS
