Svid,NoradCatID,ConstellationType,TLEDistance
1,62339,1,0.0
2,39155,3,0.0
2,41549,6,0.0
3,37867,3,0.0
3,40294,1,0.0
3,41860,6,1.0
4,41861,6,0.0
4,43873,1,0.0
4,44850,3,0.0
5,41862,6,1.0
5,43508,3,1.0
6,36828,5,0.0
6,39741,1,0.0
6,59600,6,1.0
7,37256,5,0.0
7,37868,3,0.0
7,41859,6,0.0
8,37384,5,0.0
8,37869,3,0.0
8,40730,1,0.0
8,41175,6,0.0
9,37763,5,0.0
9,40105,1,2.0
9,40315,3,0.0
9,41174,6,0.0
10,37948,5,0.0
10,49810,6,0.0
11,37846,6,0.0
11,38250,5,0.0
11,46805,3,0.0
11,48859,1,0.0
12,37847,6,0.0
12,38251,5,0.0
12,44299,3,0.0
13,41434,5,0.0
13,43567,6,0.0
14,38775,5,0.0
14,44337,5,46.010868281309364
14,46826,1,0.0
15,43564,6,0.0
15,43687,3,0.0
16,43539,5,0.0
16,54377,3,0.0
16,61182,6,0.0
17,41330,3,0.0
18,39620,3,0.0
19,38857,6,0.0
20,43002,5,0.0
21,40001,3,0.0
21,43055,6,0.0
21,43208,5,0.0
22,43207,5,0.0
22,52984,3,0.0
23,36402,3,0.0
23,43581,5,2.0
23,61183,6,0.0
24,40889,6,0.0
24,43582,5,0.0
24,45358,3,0.0
25,36585,1,0.0
25,43056,6,0.0
25,43603,5,0.0
26,40534,1,0.0
26,40544,6,1.0
26,43602,5,0.0
27,39166,1,0.0
27,43057,6,0.0
27,43107,5,0.0
28,43108,5,0.0
29,59598,6,0.0
30,39533,1,0.0
30,40890,6,0.0
31,43058,6,0.0
32,43622,5,0.0
33,43565,6,0.0
33,43623,5,0.0
34,43648,5,0.0
34,49809,6,0.0
35,43647,5,0.0
36,43566,6,1.0
37,43707,5,0.0
38,44204,5,0.0
40,44709,5,3.82842712474619
41,44864,5,0.0
42,44865,5,0.0
43,44794,5,0.0
44,44793,5,0.0
194,42738,4,0.0
195,42965,4,0.0
196,49336,4,0.0
199,42917,4,0.0
